,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_REDACAO,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_LC
0,1100015,Alta Floresta D'Oeste,11,RO,488.0,496.28000000000003,583.9399999999999,487.93999999999994,487.9599999999999
1,1100023,Ariquemes,11,RO,470.0,480.91875000000005,564.8235294117646,476.9375,494.95588235294116
2,1100049,Cacoal,11,RO,478.49056603773585,533.8448979591836,551.3528301886794,491.15714285714284,526.3547169811322
3,1100056,Cerejeiras,11,RO,740.0,462.4,642.5,517.6,592.1
4,1100064,Colorado do Oeste,11,RO,620.0,704.9,638.7,536.3,528.3
5,1100080,Costa Marques,11,RO,680.0,499.0,564.1,456.4,429.9
6,1100098,Espigão D'Oeste,11,RO,650.0,575.75,607.2,536.6,590.3
7,1100106,Guajará-Mirim,11,RO,433.3333333333333,490.5843749999999,535.1083333333332,468.303125,492.12222222222226
8,1100114,Jaru,11,RO,498.46153846153845,505.1076923076923,561.5384615384615,471.59230769230766,531.9846153846154
9,1100122,Ji-Paraná,11,RO,503.5135135135135,519.6214285714286,565.7851351351353,485.42428571428565,515.8297297297299
10,1100130,Machadinho D'Oeste,11,RO,442.5,490.78749999999997,599.025,506.97499999999997,559.5124999999999
11,1100148,Nova Brasilândia D'Oeste,11,RO,448.57142857142856,558.6285714285715,553.2857142857143,442.7857142857143,516.3857142857142
12,1100155,Ouro Preto do Oeste,11,RO,423.1578947368421,479.24210526315784,575.6368421052632,482.3736842105262,516.4368421052633
13,1100189,Pimenta Bueno,11,RO,485.55555555555554,530.6666666666665,566.6555555555556,493.1166666666667,506.5055555555556
14,1100205,Porto Velho,11,RO,493.23828920570264,508.1065934065937,550.6553971486769,474.3621978021977,511.4303462321794
15,1100254,Presidente Médici,11,RO,467.5,529.9,534.625,456.04285714285714,494.67499999999995
16,1100262,Rio Crespo,11,RO,540.0,451.4,600.1,547.0,512.9
17,1100288,Rolim de Moura,11,RO,512.3529411764706,515.9093750000001,547.6176470588234,483.94374999999997,509.53235294117644
18,1100296,Santa Luzia D'Oeste,11,RO,353.3333333333333,489.93333333333334,522.1999999999999,438.0,480.5999999999999
