date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-07-09,AC,Acrelândia,city,212,3,True,15256,1200013,1389.6172,0.0142
2020-07-09,AC,Assis Brasil,city,211,5,True,7417,1200054,2844.81596,0.0237
2020-07-09,AC,Brasiléia,city,477,7,True,26278,1200104,1815.20664,0.0147
2020-07-09,AC,Bujari,city,260,3,True,10266,1200138,2532.63199,0.0115
2020-07-09,AC,Capixaba,city,166,6,True,11733,1200179,1414.81292,0.0361
2020-07-09,AC,Cruzeiro do Sul,city,2226,39,True,88376,1200203,2518.78338,0.0175
2020-07-09,AC,Epitaciolândia,city,205,6,True,18411,1200252,1113.46478,0.0293
2020-07-09,AC,Feijó,city,342,8,True,34780,1200302,983.32375,0.0234
2020-07-09,AC,Jordão,city,41,0,True,8317,1200328,492.96621,0.0
2020-07-09,AC,Mâncio Lima,city,196,4,True,18977,1200336,1032.82921,0.0204
2020-07-09,AC,Manoel Urbano,city,56,1,True,9459,1200344,592.02876,0.0179
2020-07-09,AC,Marechal Thaumaturgo,city,191,1,True,18867,1200351,1012.34961,0.0052
2020-07-09,AC,Plácido de Castro,city,322,6,True,19761,1200385,1629.47219,0.0186
2020-07-09,AC,Porto Acre,city,301,10,True,18504,1200807,1626.67531,0.0332
2020-07-09,AC,Porto Walter,city,87,0,True,11982,1200393,726.08913,0.0
2020-07-09,AC,Rio Branco,city,7765,282,True,407319,1200401,1906.36823,0.0363
2020-07-09,AC,Rodrigues Alves,city,100,4,True,18930,1200427,528.26202,0.04
2020-07-09,AC,Santa Rosa do Purus,city,170,2,True,6540,1200435,2599.38838,0.0118
2020-07-09,AC,Senador Guiomard,city,277,6,True,23024,1200450,1203.09243,0.0217
2020-07-09,AC,Sena Madureira,city,739,6,True,45848,1200500,1611.84785,0.0081
2020-07-09,AC,Tarauacá,city,836,8,True,42567,1200609,1963.96269,0.0096
2020-07-09,AC,Xapuri,city,285,4,True,19323,1200708,1474.92625,0.014
2020-07-09,AL,Água Branca,city,33,0,True,20196,2700102,163.39869,0.0
2020-07-09,AL,Anadia,city,267,2,True,17545,2700201,1521.80108,0.0075
2020-07-09,AL,Arapiraca,city,3814,55,True,231747,2700300,1645.76025,0.0144
2020-07-09,AL,Atalaia,city,445,10,True,47185,2700409,943.09632,0.0225
2020-07-09,AL,Barra de Santo Antônio,city,100,7,True,15932,2700508,627.66759,0.07
2020-07-09,AL,Barra de São Miguel,city,101,4,True,8322,2700607,1213.65056,0.0396
2020-07-09,AL,Batalha,city,211,6,True,18232,2700706,1157.30584,0.0284
2020-07-09,AL,Belém,city,34,1,True,4344,2700805,782.68877,0.0294
2020-07-09,AL,Belo Monte,city,15,1,True,6704,2700904,223.74702,0.0667
2020-07-09,AL,Boca da Mata,city,618,11,True,27281,2701001,2265.31286,0.0178
2020-07-09,AL,Branquinha,city,85,3,True,10494,2701100,809.98666,0.0353
2020-07-09,AL,Cacimbinhas,city,56,2,True,10858,2701209,515.74876,0.0357
2020-07-09,AL,Cajueiro,city,147,9,True,21264,2701308,691.30926,0.0612
